Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv02-paldea-evolved-011-193-abomasnow-r-reverse-holo,[ENG] SV02 Paldea Evolved: 011/193 Abomasnow R (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Rare (R), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,4,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/24_b29f159d-68df-493a-ba22-c26d55d3a0fd.png?v=1690263985,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-012-193-sprigatito-c-non-foil,[ENG] SV02 Paldea Evolved: 012/193 Sprigatito C (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,22,deny,manual,0.6,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/25_3949ebbf-1022-4da9-b173-5c1676a92a33.png?v=1690264005,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-012-193-sprigatito-c-reverse-holo,[ENG] SV02 Paldea Evolved: 012/193 Sprigatito C (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,6,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/26_dfc343c7-5581-4e3b-977e-ee5c2f0834c7.png?v=1690264012,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-013-193-sprigatito-c-non-foil,[ENG] SV02 Paldea Evolved: 013/193 Sprigatito C (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,19,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/27_8d311432-6890-4866-a432-95d30946e016.png?v=1690264077,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-013-193-sprigatito-c-reverse-holo,[ENG] SV02 Paldea Evolved: 013/193 Sprigatito C (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,3,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/28_cc1b1901-714d-49bf-8418-d937e208acd4.png?v=1690264079,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-014-193-floragato-u-non-foil,[ENG] SV02 Paldea Evolved: 014/193 Floragato U (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,33,deny,manual,0.6,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/29_2a008bfc-0a45-48ee-a677-e32d2fe8e118.png?v=1690264081,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-014-193-floragato-u-reverse-holo,[ENG] SV02 Paldea Evolved: 014/193 Floragato U (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,3,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/30_19ee1767-e979-41b1-aef1-66f0d13efd51.png?v=1690264084,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-015-193-meowscarada-ex-rr-double-rare,[ENG] SV02 Paldea Evolved: 015/193 Meowscarada EX RR (Double Rare),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Foil, Rarity: Double Rare (RR), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,2.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/31_20a15d82-4c90-46cf-a7bf-10bd257b5337.png?v=1690264086,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-016-193-tarountula-c-non-foil,[ENG] SV02 Paldea Evolved: 016/193 Tarountula C (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,21,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/32_19c96286-d18d-43d1-9a60-f851fabea2df.png?v=1690264088,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-016-193-tarountula-c-reverse-holo,[ENG] SV02 Paldea Evolved: 016/193 Tarountula C (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,3,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/33_2ba2d97f-1d21-41ab-9748-9fca4598e0ad.png?v=1690264091,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
