ID,Shopify Name,Sawadeekard Name,Before,Change,After
044/198,[ENG] SV01 Scarlet Violet Base Set: 044/198 Magikarp C (Reverse Holo),Magikarp C (Reverse Holo),1.0,0.0,1.0
045/198,[ENG] SV01 Scarlet Violet Base Set: 045/198 Gyarados EX RR (Double Rare),Gyarados EX RR (Double Rare),1.8,0.19999999999999996,2.0
046/198,[ENG] SV01 Scarlet Violet Base Set: 046/198 Buizel C (Non-Foil),Buizel C (Non-Foil),0.5,0.0,0.5
046/198,[ENG] SV01 Scarlet Violet Base Set: 046/198 Buizel C (Reverse Holo),Buizel C (Reverse Holo),1.0,0.0,1.0
047/198,[ENG] SV01 Scarlet Violet Base Set: 047/198 Floatzel U (Non-Foil),Floatzel U (Non-Foil),0.5,0.0,0.5
047/198,[ENG] SV01 Scarlet Violet Base Set: 047/198 Floatzel U (Reverse Holo),Floatzel U (Reverse Holo),1.0,0.0,1.0
048/198,[ENG] SV01 Scarlet Violet Base Set: 048/198 Alomomola C (Non-Foil),Alomomola C (Non-Foil),0.5,0.0,0.5
048/198,[ENG] SV01 Scarlet Violet Base Set: 048/198 Alomomola C (Reverse Holo),Alomomola C (Reverse Holo),1.0,0.0,1.0
049/198,[ENG] SV01 Scarlet Violet Base Set: 049/198 Clauncher C (Non-Foil),Clauncher C (Non-Foil),0.5,0.0,0.5
049/198,[ENG] SV01 Scarlet Violet Base Set: 049/198 Clauncher C (Reverse Holo),Clauncher C (Reverse Holo),1.0,0.0,1.0
050/198,[ENG] SV01 Scarlet Violet Base Set: 050/198 Clawitzer C (Non-Foil),Clawitzer C (Non-Foil),0.5,0.0,0.5
050/198,[ENG] SV01 Scarlet Violet Base Set: 050/198 Clawitzer C (Reverse Holo),Clawitzer C (Reverse Holo),1.0,0.0,1.0
051/198,[ENG] SV01 Scarlet Violet Base Set: 051/198 Bruxish C (Non-Foil),Bruxish C (Non-Foil),0.5,0.0,0.5
051/198,[ENG] SV01 Scarlet Violet Base Set: 051/198 Bruxish C (Reverse Holo),Bruxish C (Reverse Holo),1.0,0.0,1.0
052/198,[ENG] SV01 Scarlet Violet Base Set: 052/198 Quaxly C (Non-Foil),Quaxly C (Non-Foil),0.5,0.0,0.5
052/198,[ENG] SV01 Scarlet Violet Base Set: 052/198 Quaxly C (Reverse Holo),Quaxly C (Reverse Holo),1.0,0.0,1.0
053/198,[ENG] SV01 Scarlet Violet Base Set: 053/198 Quaxwell U (Non-Foil),Quaxwell U (Non-Foil),0.6,-0.09999999999999998,0.5
053/198,[ENG] SV01 Scarlet Violet Base Set: 053/198 Quaxwell U (Reverse Holo),Quaxwell U (Reverse Holo),1.0,0.0,1.0
054/198,[ENG] SV01 Scarlet Violet Base Set: 054/198 Quaquaval R (Foil),Quaquaval R (Foil),0.8,-0.30000000000000004,0.5
054/198,[ENG] SV01 Scarlet Violet Base Set: 054/198 Quaquaval R (Reverse Holo),Quaquaval R (Reverse Holo),1.0,0.0,1.0
055/198,[ENG] SV01 Scarlet Violet Base Set: 055/198 Wiglett C (Non-Foil),Wiglett C (Non-Foil),0.5,0.0,0.5
055/198,[ENG] SV01 Scarlet Violet Base Set: 055/198 Wiglett C (Reverse Holo),Wiglett C (Reverse Holo),1.0,0.0,1.0
056/198,[ENG] SV01 Scarlet Violet Base Set: 056/198 Wiglett C (Non-Foil),Wiglett C (Non-Foil),1.0,-0.5,0.5
056/198,[ENG] SV01 Scarlet Violet Base Set: 056/198 Wiglett C (Reverse Holo),Wiglett C (Reverse Holo),1.5,-0.5,1.0
057/198,[ENG] SV01 Scarlet Violet Base Set: 057/198 Wugtrio U (Non-Foil),Wugtrio U (Non-Foil),0.6,-0.09999999999999998,0.5
057/198,[ENG] SV01 Scarlet Violet Base Set: 057/198 Wugtrio U (Reverse Holo),Wugtrio U (Reverse Holo),1.2,-0.19999999999999996,1.0
058/198,[ENG] SV01 Scarlet Violet Base Set: 058/198 Cetoddle C (Non-Foil),Cetoddle C (Non-Foil),0.5,0.0,0.5
058/198,[ENG] SV01 Scarlet Violet Base Set: 058/198 Cetoddle C (Reverse Holo),Cetoddle C (Reverse Holo),1.0,0.0,1.0
059/198,[ENG] SV01 Scarlet Violet Base Set: 059/198 Cetoddle C (Non-Foil),Cetoddle C (Non-Foil),0.6,-0.09999999999999998,0.5
059/198,[ENG] SV01 Scarlet Violet Base Set: 059/198 Cetoddle C (Reverse Holo),Cetoddle C (Reverse Holo),1.0,0.0,1.0
060/198,[ENG] SV01 Scarlet Violet Base Set: 060/198 Cetitan U (Non-Foil),Cetitan U (Non-Foil),0.5,0.0,0.5
060/198,[ENG] SV01 Scarlet Violet Base Set: 060/198 Cetitan U (Reverse Holo),Cetitan U (Reverse Holo),1.0,0.0,1.0
061/198,[ENG] SV01 Scarlet Violet Base Set: 061/198 Dondozo R (Foil),Dondozo R (Foil),0.6,-0.09999999999999998,0.5
061/198,[ENG] SV01 Scarlet Violet Base Set: 061/198 Dondozo R (Reverse Holo),Dondozo R (Reverse Holo),1.0,0.0,1.0
062/198,[ENG] SV01 Scarlet Violet Base Set: 062/198 Tatsugiri U (Non-Foil),Tatsugiri U (Non-Foil),0.6,-0.09999999999999998,0.5
062/198,[ENG] SV01 Scarlet Violet Base Set: 062/198 Tatsugiri U (Reverse Holo),Tatsugiri U (Reverse Holo),1.2,-0.19999999999999996,1.0
063/198,[ENG] SV01 Scarlet Violet Base Set: 063/198 Magnemite C (Non-Foil),Magnemite C (Non-Foil),0.5,0.0,0.5
063/198,[ENG] SV01 Scarlet Violet Base Set: 063/198 Magnemite C (Reverse Holo),Magnemite C (Reverse Holo),1.0,0.0,1.0
064/198,[ENG] SV01 Scarlet Violet Base Set: 064/198 Magneton C (Non-Foil),Magneton C (Non-Foil),0.5,0.0,0.5
064/198,[ENG] SV01 Scarlet Violet Base Set: 064/198 Magneton C (Reverse Holo),Magneton C (Reverse Holo),1.0,0.0,1.0
065/198,[ENG] SV01 Scarlet Violet Base Set: 065/198 Magnezone EX RR (Double Rare),Magnezone EX RR (Double Rare),1.8,0.19999999999999996,2.0
066/198,[ENG] SV01 Scarlet Violet Base Set: 066/198 Mareep C (Non-Foil),Mareep C (Non-Foil),0.5,0.0,0.5
066/198,[ENG] SV01 Scarlet Violet Base Set: 066/198 Mareep C (Reverse Holo),Mareep C (Reverse Holo),1.0,0.0,1.0
067/198,[ENG] SV01 Scarlet Violet Base Set: 067/198 Flaaffy U (Non-Foil),Flaaffy U (Non-Foil),0.5,0.0,0.5
067/198,[ENG] SV01 Scarlet Violet Base Set: 067/198 Flaaffy U (Reverse Holo),Flaaffy U (Reverse Holo),1.0,0.0,1.0
068/198,[ENG] SV01 Scarlet Violet Base Set: 068/198 Pachirisu U (Non-Foil),Pachirisu U (Non-Foil),0.5,0.0,0.5
068/198,[ENG] SV01 Scarlet Violet Base Set: 068/198 Pachirisu U (Reverse Holo),Pachirisu U (Reverse Holo),1.0,0.0,1.0
069/198,[ENG] SV01 Scarlet Violet Base Set: 069/198 Rotom C (Non-Foil),Rotom C (Non-Foil),0.5,0.0,0.5
069/198,[ENG] SV01 Scarlet Violet Base Set: 069/198 Rotom C (Reverse Holo),Rotom C (Reverse Holo),1.5,-0.5,1.0
070/198,[ENG] SV01 Scarlet Violet Base Set: 070/198 Rotom C (Non-Foil),Rotom C (Non-Foil),0.5,0.0,0.5
070/198,[ENG] SV01 Scarlet Violet Base Set: 070/198 Rotom C (Reverse Holo),Rotom C (Reverse Holo),1.2,-0.19999999999999996,1.0
071/198,[ENG] SV01 Scarlet Violet Base Set: 071/198 Toxel C (Non-Foil),Toxel C (Non-Foil),0.5,0.0,0.5
071/198,[ENG] SV01 Scarlet Violet Base Set: 071/198 Toxel C (Reverse Holo),Toxel C (Reverse Holo),1.0,0.0,1.0
072/198,[ENG] SV01 Scarlet Violet Base Set: 072/198 Toxtricity U (Non-Foil),Toxtricity U (Non-Foil),0.5,0.0,0.5
072/198,[ENG] SV01 Scarlet Violet Base Set: 072/198 Toxtricity U (Reverse Holo),Toxtricity U (Reverse Holo),1.2,-0.19999999999999996,1.0
073/198,[ENG] SV01 Scarlet Violet Base Set: 073/198 Pawmi C (Non-Foil),Pawmi C (Non-Foil),0.5,0.0,0.5
073/198,[ENG] SV01 Scarlet Violet Base Set: 073/198 Pawmi C (Reverse Holo),Pawmi C (Reverse Holo),1.0,0.0,1.0
074/198,[ENG] SV01 Scarlet Violet Base Set: 074/198 Pawmi C (Non-Foil),Pawmi C (Non-Foil),0.5,0.0,0.5
074/198,[ENG] SV01 Scarlet Violet Base Set: 074/198 Pawmi C (Reverse Holo),Pawmi C (Reverse Holo),1.0,0.0,1.0
075/198,[ENG] SV01 Scarlet Violet Base Set: 075/198 Pawmo C (Non-Foil),Pawmo C (Non-Foil),0.51,-0.010000000000000009,0.5
075/198,[ENG] SV01 Scarlet Violet Base Set: 075/198 Pawmo C (Reverse Holo),Pawmo C (Reverse Holo),1.0,0.0,1.0
076/198,[ENG] SV01 Scarlet Violet Base Set: 076/198 Pawmot R (Foil),Pawmot R (Foil),0.8,-0.30000000000000004,0.5
076/198,[ENG] SV01 Scarlet Violet Base Set: 076/198 Pawmot R (Reverse Holo),Pawmot R (Reverse Holo),1.0,0.0,1.0
077/198,[ENG] SV01 Scarlet Violet Base Set: 077/198 Wattrel C (Non-Foil),Wattrel C (Non-Foil),0.5,0.0,0.5
077/198,[ENG] SV01 Scarlet Violet Base Set: 077/198 Wattrel C (Reverse Holo),Wattrel C (Reverse Holo),1.0,0.0,1.0
078/198,[ENG] SV01 Scarlet Violet Base Set: 078/198 Wattrel C (Non-Foil),Wattrel C (Non-Foil),0.5,0.0,0.5
078/198,[ENG] SV01 Scarlet Violet Base Set: 078/198 Wattrel C (Reverse Holo),Wattrel C (Reverse Holo),1.0,0.0,1.0
079/198,[ENG] SV01 Scarlet Violet Base Set: 079/198 Kilowattrel U (Non-Foil),Kilowattrel U (Non-Foil),0.5,0.0,0.5
079/198,[ENG] SV01 Scarlet Violet Base Set: 079/198 Kilowattrel U (Reverse Holo),Kilowattrel U (Reverse Holo),1.2,-0.19999999999999996,1.0
080/198,[ENG] SV01 Scarlet Violet Base Set: 080/198 Miraidon R (Foil),Miraidon R (Foil),0.8,-0.30000000000000004,0.5
080/198,[ENG] SV01 Scarlet Violet Base Set: 080/198 Miraidon R (Reverse Holo),Miraidon R (Reverse Holo),1.0,0.0,1.0
081/198,[ENG] SV01 Scarlet Violet Base Set: 081/198 Miraidon EX RR (Double Rare),Miraidon EX RR (Double Rare),4.0,-2.0,2.0
082/198,[ENG] SV01 Scarlet Violet Base Set: 082/198 Drowzee C (Non-Foil),Drowzee C (Non-Foil),0.5,0.0,0.5
082/198,[ENG] SV01 Scarlet Violet Base Set: 082/198 Drowzee C (Reverse Holo),Drowzee C (Reverse Holo),1.0,0.0,1.0
083/198,[ENG] SV01 Scarlet Violet Base Set: 083/198 Hypno U (Non-Foil),Hypno U (Non-Foil),0.5,0.0,0.5
083/198,[ENG] SV01 Scarlet Violet Base Set: 083/198 Hypno U (Reverse Holo),Hypno U (Reverse Holo),1.0,0.0,1.0
084/198,[ENG] SV01 Scarlet Violet Base Set: 084/198 Ralts C (Non-Foil),Ralts C (Non-Foil),0.6,-0.09999999999999998,0.5
084/198,[ENG] SV01 Scarlet Violet Base Set: 084/198 Ralts C (Reverse Holo),Ralts C (Reverse Holo),1.0,0.0,1.0
085/198,[ENG] SV01 Scarlet Violet Base Set: 085/198 Kirlia C (Non-Foil),Kirlia C (Non-Foil),0.5,0.0,0.5
085/198,[ENG] SV01 Scarlet Violet Base Set: 085/198 Kirlia C (Reverse Holo),Kirlia C (Reverse Holo),1.0,0.0,1.0
086/198,[ENG] SV01 Scarlet Violet Base Set: 086/198 Gardevoir EX RR (Double Rare),Gardevoir EX RR (Double Rare),5.0,-3.0,2.0
