ID,Name,Price in USD,Price in SGD
067/162,Latias [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
067/162,Latias [Psychic] [U - Uncommon] (Reverse Holo),0.35,1.0
068/162,Bronzor [Psychic] [C - Common] (Non-Foil),0.25,0.5
068/162,Bronzor [Psychic] [C - Common] (Reverse Holo),0.35,1.0
069/162,Bronzong [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
069/162,Bronzong [Psychic] [U - Uncommon] (Reverse Holo),0.35,1.0
070/162,Solosis [Psychic] [C - Common] (Non-Foil),0.25,0.5
070/162,Solosis [Psychic] [C - Common] (Reverse Holo),0.35,1.0
071/162,Duosion [Psychic] [C - Common] (Non-Foil),0.25,0.5
071/162,Duosion [Psychic] [C - Common] (Reverse Holo),0.35,1.0
072/162,Reuniclus [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
072/162,Reuniclus [Psychic] [U - Uncommon] (Reverse Holo),0.35,1.0
073/162,Elgyem [Psychic] [C - Common] (Non-Foil),0.25,0.5
073/162,Elgyem [Psychic] [C - Common] (Reverse Holo),0.35,1.0
074/162,Beheeyem [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
074/162,Beheeyem [Psychic] [U - Uncommon] (Reverse Holo),0.35,1.0
075/162,Cutiefly [Psychic] [C - Common] (Non-Foil),0.25,0.5
075/162,Cutiefly [Psychic] [C - Common] (Reverse Holo),0.35,1.0
076/162,Ribombeee [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
076/162,Ribombeee [Psychic] [U - Uncommon] (Reverse Holo),0.35,1.0
077/162,Scream Tail [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
077/162,Scream Tail [Psychic] [U - Uncommon] (Reverse Holo),0.35,1.0
078/162,Flutter Mane [Psychic] [R - Rare] (Foil),0.49,0.7
078/162,Flutter Mane [Psychic] [R - Rare] (Reverse Holo),0.79,1.1
079/162,Iron Valiant [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
079/162,Iron Valiant [Psychic] [U - Uncommon] (Reverse Holo),0.35,1.0
080/162,Iron Valiant [Psychic] [R - Rare] (Foil),0.35,0.5
080/162,Iron Valiant [Psychic] [R - Rare] (Reverse Holo),0.49,1.0
081/162,Iron Crown ex [Psychic] [RR - Double Rare] (Foil),3.49,4.7
082/162,Meditite [Fighting] [C - Common] (Non-Foil),0.25,0.5
082/162,Meditite [Fighting] [C - Common] (Reverse Holo),0.35,1.0
083/162,Medicham [Fighting] [C - Common] (Non-Foil),0.25,0.5
083/162,Medicham [Fighting] [C - Common] (Reverse Holo),0.35,1.0
084/162,Relicanth [Fighting] [R - Rare] (Foil),0.35,0.5
084/162,Relicanth [Fighting] [R - Rare] (Reverse Holo),0.69,1.0
085/162,Drilbur [Fighting] [C - Common] (Non-Foil),0.25,0.5
085/162,Drilbur [Fighting] [C - Common] (Reverse Holo),0.35,1.0
086/162,Excadrill [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
086/162,Excadrill [Fighting] [U - Uncommon] (Reverse Holo),0.35,1.0
087/162,Golett [Fighting] [C - Common] (Non-Foil),0.25,0.5
087/162,Golett [Fighting] [C - Common] (Reverse Holo),0.35,1.0
088/162,Golurk [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
088/162,Golurk [Fighting] [U - Uncommon] (Reverse Holo),0.35,1.0
089/162,Rockruff [Fighting] [C - Common] (Non-Foil),0.25,0.5
089/162,Rockruff [Fighting] [C - Common] (Reverse Holo),0.35,1.0
090/162,Lycanroc [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
090/162,Lycanroc [Fighting] [U - Uncommon] (Reverse Holo),0.35,1.0
091/162,Mudbray [Fighting] [C - Common] (Non-Foil),0.25,0.5
091/162,Mudbray [Fighting] [C - Common] (Reverse Holo),0.35,1.0
092/162,Mudsdale [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
