ID,Name,Price in USD,Price in SGD
106/182,Flamigo C (Reverse Holo),0.35,1.0
107/182,Slither Wing U (Non-Foil),1.49,2.0
107/182,Slither Wing U (Reverse Holo),0.35,1.0
108/182,Sandy Shocks ex RR (Foil),0.25,0.5
109/182,Ting-Lu R (Foil),1.49,2.0
109/182,Ting-Lu R (Reverse Holo),0.35,1.0
110/182,Zubat C (Non-Foil),0.25,0.5
110/182,Zubat C (Reverse Holo),0.35,1.0
111/182,Golbat C (Non-Foil),0.25,0.5
111/182,Golbat C (Reverse Holo),0.35,1.0
112/182,Crobat U (Non-Foil),0.25,0.5
112/182,Crobat U (Reverse Holo),0.35,1.0
113/182,Absol U (Non-Foil),0.35,0.5
113/182,Absol U (Reverse Holo),0.35,1.0
114/182,Purrloin C (Non-Foil),0.35,0.5
114/182,Purrloin C (Reverse Holo),0.35,1.0
115/182,Liepard C (Non-Foil),0.25,0.5
115/182,Liepard C (Reverse Holo),0.39,1.0
116/182,Trubbish C (Non-Foil),0.25,0.5
116/182,Trubbish C (Reverse Holo),0.35,1.0
117/182,Garbador U (Non-Foil),1.99,2.7
117/182,Garbador U (Reverse Holo),0.35,1.0
118/182,Yveltal R (Foil),0.35,0.5
118/182,Yveltal R (Reverse Holo),0.35,1.0
119/182,Nickit C (Non-Foil),0.25,0.5
119/182,Nickit C (Reverse Holo),0.35,1.0
120/182,Thievul R (Foil),0.25,0.5
120/182,Thievul R (Reverse Holo),0.35,1.0
121/182,Morpeko R (Foil),0.25,0.5
121/182,Morpeko R (Reverse Holo),0.35,1.0
122/182,Lokix R (Foil),0.25,0.5
122/182,Lokix R (Reverse Holo),0.35,1.0
123/182,Brute Bonnet R (Foil),0.25,0.5
123/182,Brute Bonnet R (Reverse Holo),0.49,1.0
124/182,Roaring Moon ex RR (Foil),0.25,0.5
125/182,Steelix R (Foil),0.25,0.5
125/182,Steelix R (Reverse Holo),0.35,1.0
126/182,Jirachi C (Non-Foil),0.25,0.5
126/182,Jirachi C (Reverse Holo),0.35,1.0
127/182,Ferroseed C (Non-Foil),0.35,0.5
127/182,Ferroseed C (Reverse Holo),0.35,1.0
128/182,Ferrothorn U (Non-Foil),0.25,0.5
128/182,Ferrothorn U (Reverse Holo),0.49,1.0
129/182,Durant U (Non-Foil),0.35,0.5
129/182,Durant U (Reverse Holo),0.49,1.0
130/182,Honedge C (Non-Foil),0.35,0.5
130/182,Honedge C (Reverse Holo),0.35,1.0
132/182,Doublade C (Non-Foil),0.35,0.5
132/182,Doublade C (Reverse Holo),0.39,1.0
134/182,Aegislash R (Foil),0.35,0.5
134/182,Aegislash R (Reverse Holo),0.49,1.0
135/182,Aegislash ex RR (Foil),3.99,5.4
136/182,Zacian R (Foil),0.35,0.5
136/182,Zacian R (Reverse Holo),0.35,1.0
137/182,Skeledirge ex RR (Foil),0.35,0.5
138/182,Orthworm U (Non-Foil),0.25,0.5
138/182,Orthworm U (Reverse Holo),0.59,1.0
139/182,Gholdengo ex RR (Foil),0.25,0.5
140/182,Altaria ex RR (Foil),0.25,0.5
141/182,Tatsugiri U (Non-Foil),0.25,0.5
141/182,Tatsugiri U (Reverse Holo),0.49,1.0
142/182,Porygon C (Non-Foil),0.25,0.5
142/182,Porygon C (Reverse Holo),0.79,1.1
143/182,Porygon2 C (Non-Foil),0.25,0.5
143/182,Porygon2 C (Reverse Holo),0.35,1.0
