ID,Name,Price in USD,Price in SGD
075/167,Wattrel [Lightning] [C - Common] (Reverse Holo),0.39,1.0
076/167,Kilowattrel [Lightning] [U - Uncommon] (Non-Foil),0.25,0.5
076/167,Kilowattrel [Lightning] [U - Uncommon] (Reverse Holo),0.35,1.0
077/167,Iron Thorns ex [Lightning] [RR - Double Rare] (Foil),2.49,3.4
078/167,Clefairy [Psychic] [C - Common] (Non-Foil),0.25,0.5
078/167,Clefairy [Psychic] [C - Common] (Reverse Holo),0.39,1.0
079/167,Clefable [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
079/167,Clefable [Psychic] [U - Uncommon] (Reverse Holo),0.35,1.0
080/167,Abra [Psychic] [C - Common] (Non-Foil),0.25,0.5
080/167,Abra [Psychic] [C - Common] (Reverse Holo),0.49,1.0
081/167,Kadabra [Psychic] [C - Common] (Non-Foil),0.25,0.5
081/167,Kadabra [Psychic] [C - Common] (Reverse Holo),0.49,1.0
082/167,Alakazam [Psychic] [R - Rare] (Foil),0.75,1.0
082/167,Alakazam [Psychic] [R - Rare] (Reverse Holo),0.75,1.0
083/167,Girafarig [Psychic] [C - Common] (Non-Foil),0.25,0.5
083/167,Girafarig [Psychic] [C - Common] (Reverse Holo),0.49,1.0
084/167,Farigiraf [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
084/167,Farigiraf [Psychic] [U - Uncommon] (Reverse Holo),0.49,1.0
085/167,Chimecho [Psychic] [C - Common] (Non-Foil),0.25,0.5
085/167,Chimecho [Psychic] [C - Common] (Reverse Holo),0.35,1.0
086/167,Flabebe [Psychic] [C - Common] (Non-Foil),0.25,0.5
086/167,Flabebe [Psychic] [C - Common] (Reverse Holo),0.39,1.0
087/167,Floette [Psychic] [C - Common] (Non-Foil),0.25,0.5
087/167,Floette [Psychic] [C - Common] (Reverse Holo),0.49,1.0
088/167,Florges [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
088/167,Florges [Psychic] [U - Uncommon] (Reverse Holo),0.49,1.0
089/167,Swirlix [Psychic] [C - Common] (Non-Foil),0.25,0.5
089/167,Swirlix [Psychic] [C - Common] (Reverse Holo),0.39,1.0
090/167,Slurpuff [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
090/167,Slurpuff [Psychic] [U - Uncommon] (Reverse Holo),0.49,1.0
091/167,Sandygast [Psychic] [C - Common] (Non-Foil),0.25,0.5
091/167,Sandygast [Psychic] [C - Common] (Reverse Holo),0.39,1.0
092/167,Palossand [Psychic] [C - Common] (Non-Foil),0.25,0.5
092/167,Palossand [Psychic] [C - Common] (Reverse Holo),0.35,1.0
093/167,Enamorus [Psychic] [R - Rare] (Foil),0.75,1.0
093/167,Enamorus [Psychic] [R - Rare] (Reverse Holo),0.75,1.0
094/167,Scream Tail ex [Psychic] [RR - Double Rare] (Foil),1.49,2.0
095/167,Munkidori [Psychic] [R - Rare] (Foil),0.49,0.7
095/167,Munkidori [Psychic] [R - Rare] (Reverse Holo),0.75,1.0
096/167,Fezandipiti [Psychic] [R - Rare] (Foil),0.49,0.7
096/167,Fezandipiti [Psychic] [R - Rare] (Reverse Holo),0.75,1.0
097/167,Sandshrew [Fighting] [C - Common] (Non-Foil),0.25,0.5
097/167,Sandshrew [Fighting] [C - Common] (Reverse Holo),0.39,1.0
098/167,Sandslash [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
098/167,Sandslash [Fighting] [U - Uncommon] (Reverse Holo),0.49,1.0
099/167,Hisuian Growlithe [Fighting] [C - Common] (Non-Foil),0.25,0.5
099/167,Hisuian Growlithe [Fighting] [C - Common] (Reverse Holo),0.39,1.0
100/167,Hisuian Arcanine [Fighting] [R - Rare] (Foil),0.49,0.7
100/167,Hisuian Arcanine [Fighting] [R - Rare] (Reverse Holo),0.75,1.0
101/167,Nosepass [Fighting] [C - Common] (Non-Foil),0.25,0.5
101/167,Nosepass [Fighting] [C - Common] (Reverse Holo),0.35,1.0
102/167,Probopass [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
102/167,Probopass [Fighting] [U - Uncommon] (Reverse Holo),0.35,1.0
103/167,Timburr [Fighting] [C - Common] (Non-Foil),0.25,0.5
103/167,Timburr [Fighting] [C - Common] (Reverse Holo),0.39,1.0
104/167,Gurdurr [Fighting] [C - Common] (Non-Foil),0.25,0.5
104/167,Gurdurr [Fighting] [C - Common] (Reverse Holo),0.49,1.0
105/167,Conkeldurr [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
105/167,Conkeldurr [Fighting] [U - Uncommon] (Reverse Holo),0.49,1.0
106/167,Greninja ex [Fighting] [RR - Double Rare] (Foil),3.99,5.4
107/167,Hawlucha [Fighting] [C - Common] (Non-Foil),0.25,0.5
107/167,Hawlucha [Fighting] [C - Common] (Reverse Holo),0.35,1.0
108/167,Glimmet [Fighting] [C - Common] (Non-Foil),0.25,0.5
108/167,Glimmet [Fighting] [C - Common] (Reverse Holo),0.35,1.0
109/167,Glimmora [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
109/167,Glimmora [Fighting] [U - Uncommon] (Reverse Holo),0.49,1.0
110/167,Ting-Lu [Fighting] [R - Rare] (Foil),0.49,0.7
110/167,Ting-Lu [Fighting] [R - Rare] (Reverse Holo),0.69,1.0
111/167,Okidogi [Fighting] [R - Rare] (Foil),0.39,0.5
