ID,Shopify Name,Sawadeekard Name,Before,Change,After
046/197,[ENG]	SV03	Obsidian Flames:	046/197	Carvanha	C	(Reverse Holo),Carvanha C (Non-Foil),1.0,-0.5,0.5
046/197,[ENG]	SV03	Obsidian Flames:	047/197	Sharpedo	U	(Non-Foil),Carvanha C (Reverse Holo),0.5,0.5,1.0
047/197,[ENG]	SV03	Obsidian Flames:	047/197	Sharpedo	U	(Reverse Holo),Sharpedo U (Non-Foil),1.5,-1.0,0.5
047/197,[ENG]	SV03	Obsidian Flames:	048/197	Buizel	C	(Non-Foil),Sharpedo U (Reverse Holo),0.5,0.5,1.0
048/197,[ENG]	SV03	Obsidian Flames:	048/197	Buizel	C	(Reverse Holo),Buizel C (Non-Foil),1.0,-0.5,0.5
048/197,[ENG]	SV03	Obsidian Flames:	049/197	Floatzel	U	(Non-Foil),Buizel C (Reverse Holo),0.5,0.5,1.0
049/197,[ENG]	SV03	Obsidian Flames:	049/197	Floatzel	U	(Reverse Holo),Floatzel U (Non-Foil),1.5,-1.0,0.5
049/197,[ENG]	SV03	Obsidian Flames:	050/197	Tympole	C	(Non-Foil),Floatzel U (Reverse Holo),0.5,0.5,1.0
050/197,[ENG]	SV03	Obsidian Flames:	050/197	Tympole	C	(Reverse Holo),Tympole C (Non-Foil),1.0,-0.5,0.5
050/197,[ENG]	SV03	Obsidian Flames:	051/197	Palpitoad	C	(Non-Foil),Tympole C (Reverse Holo),0.5,0.5,1.0
051/197,[ENG]	SV03	Obsidian Flames:	051/197	Palpitoad	C	(Reverse Holo),Palpitoad C (Non-Foil),1.0,-0.5,0.5
051/197,[ENG]	SV03	Obsidian Flames:	052/197	Seismitoad	C	(Non-Foil),Palpitoad C (Reverse Holo),0.5,0.5,1.0
052/197,[ENG]	SV03	Obsidian Flames:	052/197	Seismitoad	C	(Reverse Holo),Seismitoad C (Non-Foil),1.5,-0.9,0.6
052/197,[ENG]	SV03	Obsidian Flames:	053/197	Cubchoo	C	(Non-Foil),Seismitoad C (Reverse Holo),0.5,0.5,1.0
053/197,[ENG]	SV03	Obsidian Flames:	053/197	Cubchoo	C	(Reverse Holo),Cubchoo C (Non-Foil),1.0,-0.5,0.5
053/197,[ENG]	SV03	Obsidian Flames:	054/197	Beartic	U	(Non-Foil),Cubchoo C (Reverse Holo),0.5,0.5,1.0
054/197,[ENG]	SV03	Obsidian Flames:	054/197	Beartic	U	(Reverse Holo),Beartic U (Non-Foil),1.5,-1.0,0.5
054/197,[ENG]	SV03	Obsidian Flames:	055/197	Cryogonal	C	(Non-Foil),Beartic U (Reverse Holo),0.5,0.5,1.0
055/197,[ENG]	SV03	Obsidian Flames:	055/197	Cryogonal	C	(Reverse Holo),Cryogonal C (Non-Foil),1.0,-0.5,0.5
055/197,[ENG]	SV03	Obsidian Flames:	056/197	Froakie	C	(Non-Foil),Cryogonal C (Reverse Holo),0.5,0.5,1.0
056/197,[ENG]	SV03	Obsidian Flames:	056/197	Froakie	C	(Reverse Holo),Froakie C (Non-Foil),1.0,-0.5,0.5
056/197,[ENG]	SV03	Obsidian Flames:	057/197	Frogadier	U	(Reverse Holo),Froakie C (Reverse Holo),1.5,-0.5,1.0
057/197,[ENG]	SV03	Obsidian Flames:	058/197	Wiglett	C	(Non-Foil),Frogadier U (Non-Foil),0.5,0.0,0.5
057/197,[ENG]	SV03	Obsidian Flames:	057/197	Frogadier	U	(Non-Foil),Frogadier U (Reverse Holo),0.5,0.5,1.0
058/197,[ENG]	SV03	Obsidian Flames:	058/197	Wiglett	C	(Reverse Holo),Wiglett C (Non-Foil),1.0,-0.5,0.5
058/197,[ENG]	SV03	Obsidian Flames:	059/197	Wugtrio	U	(Non-Foil),Wiglett C (Reverse Holo),0.5,0.5,1.0
059/197,[ENG]	SV03	Obsidian Flames:	059/197	Wugtrio	U	(Reverse Holo),Wugtrio U (Non-Foil),1.5,-1.0,0.5
059/197,[ENG]	SV03	Obsidian Flames:	060/197	Finizen	C	(Non-Foil),Wugtrio U (Reverse Holo),0.5,0.5,1.0
060/197,[ENG]	SV03	Obsidian Flames:	060/197	Finizen	C	(Reverse Holo),Finizen C (Non-Foil),1.5,-0.7,0.8
060/197,[ENG]	SV03	Obsidian Flames:	061/197	Finizen	C	(Non-Foil),Finizen C (Reverse Holo),0.5,0.5,1.0
061/197,[ENG]	SV03	Obsidian Flames:	061/197	Finizen	C	(Reverse Holo),Finizen C (Non-Foil),1.5,-1.0,0.5
061/197,[ENG]	SV03	Obsidian Flames:	062/197	Palafin	R	(Foil),Finizen C (Reverse Holo),0.8,0.19999999999999996,1.0
062/197,[ENG]	SV03	Obsidian Flames:	062/197	Palafin	R	(Reverse Holo),Palafin R (Foil),2.0,-1.5,0.5
062/197,[ENG]	SV03	Obsidian Flames:	063/197	Magnemite	C	(Non-Foil),Palafin R (Reverse Holo),0.5,0.5,1.0
063/197,[ENG]	SV03	Obsidian Flames:	063/197	Magnemite	C	(Reverse Holo),Magnemite C (Non-Foil),1.0,-0.5,0.5
063/197,[ENG]	SV03	Obsidian Flames:	064/197	Magneton	C	(Non-Foil),Magnemite C (Reverse Holo),0.5,0.5,1.0
064/197,[ENG]	SV03	Obsidian Flames:	064/197	Magneton	C	(Reverse Holo),Magneton C (Non-Foil),1.0,-0.5,0.5
064/197,[ENG]	SV03	Obsidian Flames:	065/197	Magnezone	U	(Non-Foil),Magneton C (Reverse Holo),0.5,0.5,1.0
065/197,[ENG]	SV03	Obsidian Flames:	065/197	Magnezone	U	(Reverse Holo),Magnezone U (Non-Foil),1.0,-0.5,0.5
065/197,[ENG]	SV03	Obsidian Flames:	066/197	Tyranitar ex	RR	(Foil),Magnezone U (Reverse Holo),2.5,-1.5,1.0
066/197,[ENG]	SV03	Obsidian Flames:	067/197	Tynamo	C	(Non-Foil),Tyranitar ex RR (Foil),0.5,1.9,2.4
067/197,[ENG]	SV03	Obsidian Flames:	067/197	Tynamo	C	(Reverse Holo),Tynamo C (Non-Foil),1.0,-0.5,0.5
067/197,[ENG]	SV03	Obsidian Flames:	068/197	Eelektrik	C	(Non-Foil),Tynamo C (Reverse Holo),0.5,0.5,1.0
068/197,[ENG]	SV03	Obsidian Flames:	068/197	Eelektrik	C	(Reverse Holo),Eelektrik C (Non-Foil),1.5,-1.0,0.5
068/197,[ENG]	SV03	Obsidian Flames:	069/197	Eelektross	U	(Non-Foil),Eelektrik C (Reverse Holo),0.5,0.5,1.0
069/197,[ENG]	SV03	Obsidian Flames:	069/197	Eelektross	U	(Reverse Holo),Eelektross U (Non-Foil),1.0,-0.5,0.5
069/197,[ENG]	SV03	Obsidian Flames:	070/197	Thundurus	R	(Foil),Eelektross U (Reverse Holo),0.8,0.19999999999999996,1.0
070/197,[ENG]	SV03	Obsidian Flames:	070/197	Thundurus	R	(Reverse Holo),Thundurus R (Foil),1.0,-0.5,0.5
