Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv03-obsidian-flames-210-197-eiscue-ex-sr-foil,[ENG]	SV03	Obsidian Flames:	210/197	Eiscue ex	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Super Rare (SR), Type: Fire",true,Title,Default Title,,,,,,,,,100.0,shopify,4,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/52_ce8ab2d2-9173-427c-90e6-0542deca827e.jpg?v=1702999549,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-209-197-lechonk-ir-foil,[ENG]	SV03	Obsidian Flames:	209/197	Lechonk	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Normal",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,5.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/51_4e005efc-11c7-4f91-82b9-757d02eb2e80.jpg?v=1702999477,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-208-197-pidgeotto-ir-foil,[ENG]	SV03	Obsidian Flames:	208/197	Pidgeotto	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Normal",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,5.50,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/50_61ea9a58-5356-49c4-8a59-59f143e8a6cf.jpg?v=1702999458,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-207-197-pidgey-ir-foil,[ENG]	SV03	Obsidian Flames:	207/197	Pidgey	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Normal",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,7.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/49_73cc231f-d2a9-4330-af90-df99029328b3.jpg?v=1702999437,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-206-197-varoom-ir-foil,[ENG]	SV03	Obsidian Flames:	206/197	Varoom	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Metal",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/48_91950df5-628c-4cb8-b833-0450d8e7a0d3.jpg?v=1702999416,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-205-197-scizor-ir-foil,[ENG]	SV03	Obsidian Flames:	205/197	Scizor	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Metal",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,6.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/47_1cf1125f-9351-49e1-8780-f55918048701.jpg?v=1702999389,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-204-197-houndour-ir-foil,[ENG]	SV03	Obsidian Flames:	204/197	Houndour	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Dark",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/46_9e9bb05e-b416-49be-aa41-295e72f944b6.jpg?v=1702999364,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-203-197-larvitar-ir-foil,[ENG]	SV03	Obsidian Flames:	203/197	Larvitar	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Fighting",true,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/45_528f21d3-8925-46d1-88a0-dcb5f5e96462.jpg?v=1702999341,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-202-197-cleffa-ir-foil,[ENG]	SV03	Obsidian Flames:	202/197	Cleffa	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Psychic",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,9.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/44_379ea8a4-4d14-4745-b613-4dfee3d0e95b.jpg?v=1702999316,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-201-197-bellibolt-ir-foil,[ENG]	SV03	Obsidian Flames:	201/197	Bellibolt	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Electric",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/43_8887755f-a61c-440e-a902-76d460409f19.jpg?v=1702999288,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-200-197-palafin-ir-foil,[ENG]	SV03	Obsidian Flames:	200/197	Palafin	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Water",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/42_86654cd9-81c9-4897-a5a4-4d0956b9f904.jpg?v=1702999262,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-199-197-ninetales-ir-foil,[ENG]	SV03	Obsidian Flames:	199/197	Ninetales	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Fire",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,10.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/41_330082ae-a043-457c-8164-d574b28ef7da.jpg?v=1702999239,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-198-197-gloom-ir-foil,[ENG]	SV03	Obsidian Flames:	198/197	Gloom	IR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Illustration Rare (IR), Type: Grass",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/40_cdb86d7f-ae20-4791-b2cc-4580deb58e06.jpg?v=1702999194,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-197-197-vengeful-punch-u-non-foil,[ENG]	SV03	Obsidian Flames:	197/197	Vengeful Punch	U	(Non-Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Non-Foil, Others: Tools, Rarity: Uncommon (U)",true,Title,Default Title,,,,,,,,,100.0,shopify,8,deny,manual,0.50,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/38_201fe910-292b-4cb4-b0af-81f67a6bda6b.jpg?v=1702999122,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
