ID,Name,Price in USD,Price in SGD
071/091,Lechonk [Colorless] [C - Common] (Non-Foil),0.25,0.5
071/091,Lechonk [Colorless] [C - Common] (Reverse Holo),0.35,1.0
072/091,Oinkolonge [Colorless] [U - Uncommon] (Non-Foil),0.25,0.5
072/091,Oinkolonge [Colorless] [U - Uncommon] (Reverse Holo),0.49,1.0
073/091,Tandemaus [Colorless] [C - Common] (Non-Foil),0.35,0.5
073/091,Tandemaus [Colorless] [C - Common] (Reverse Holo),0.35,1.0
074/091,Maushold [Colorless] [U - Uncommon] (Non-Foil),0.25,0.5
074/091,Maushold [Colorless] [U - Uncommon] (Reverse Holo),0.39,1.0
075/091,Squawkabilly ex [Colorless] [RR - Double Rare] (Foil),1.49,2.0
076/091,Artazon [Stadium] [U - Uncommon] (Non-Foil),0.69,0.9
076/091,Artazon [Stadium] [U - Uncommon] (Reverse Holo),0.69,1.0
077/091,Artticus [Supporter] [U - Uncommon] (Non-Foil),0.49,0.7
077/091,Artticus [Supporter] [U - Uncommon] (Reverse Holo),0.35,1.0
078/091,Clive [Supporter] [U - Uncommon] (Non-Foil),0.25,0.5
078/091,Clive [Supporter] [U - Uncommon] (Reverse Holo),0.39,1.0
079/091,Electric Generator [Item] [U - Uncommon] (Non-Foil),0.35,0.5
079/091,Electric Generator [Item] [U - Uncommon] (Reverse Holo),0.59,1.0
080/091,Iono [Supporter] [U - Uncommon] (Non-Foil),0.25,0.5
080/091,Iono [Supporter] [U - Uncommon] (Reverse Holo),0.79,1.1
081/091,Moonlit Hill [Stadium] [U - Uncommon] (Non-Foil),0.35,0.5
081/091,Moonlit Hill [Stadium] [U - Uncommon] (Reverse Holo),0.49,1.0
082/091,Nemona [Supporter] [C - Common] (Non-Foil),0.49,0.7
082/091,Nemona [Supporter] [C - Common] (Reverse Holo),0.35,1.0
083/091,Nemona's Backpack [Item] [U - Uncommon] (Non-Foil),0.49,0.7
083/091,Nemona's Backpack [Item] [U - Uncommon] (Reverse Holo),0.35,1.0
084/091,Nest Ball [Item] [U - Uncommon] (Non-Foil),0.49,0.7
084/091,Nest Ball [Item] [U - Uncommon] (Reverse Holo),0.79,1.1
085/091,Paldean Student [Supporter] [C - Common] (Non-Foil),0.25,0.5
085/091,Paldean Student [Supporter] [C - Common] (Reverse Holo),0.35,1.0
086/091,Paldean Student [Supporter] [C - Common] (Non-Foil),0.25,0.5
086/091,Paldean Student [Supporter] [C - Common] (Reverse Holo),0.35,1.0
087/091,Professor's Research Professor Sada [Supporter] [R - Rare] (Foil),0.35,0.5
